url	nama	harga	jenis	address	aircon	free_wifi	kamar_mandi_dalam	Spring Bed_fkamar	Perabot_fkamar	TV_fkamar	Pemanas Air (Water Heater)_fkamar	Kulkas_fkamar	Keamanan_fkost	Parkir Motor_fkost	Ruang Tamu_fkost	Ruang Makan_fkost	Dapur_fkost	Air Minum_fkost	Pembantu_fkost	Parkir Mobil_fkost	Cuci Setrika_fkost	Mesin Cuci (Cuci Sendiri)_fkost	Televisi_fkost
https://www.sewakost.com/jakarta/selatan/kost-ciganjur-jalan-pasir-no-32-62045.html	Kost Ciganjur Jalan Pasir No. 32	1000000	Kost Campur	Jalan Pasir no 32 Kp. Setu Rt 001/006 Kelurahan Ciganjur, Jagakarsa, Jakarta Selatan	Tidak	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Ya	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/kost-executive-jagakarsa-paso-cilandak-jakarta-selatan-93267.html	KOST EXECUTIVE JAGAKARSA PASO CILANDAK JAKARTA SELATAN	2200000	Kost Putra	Jalan Paso no 6A, Jagakarsa, Cilandak, Jakarta Selatan	Ya	Ya	Ya	Ya	Ya	Ya	Tidak	Tidak	Tidak	Ya	Ya	Ya	Ya	Ya	Ya	Ya	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/kamar-kost-putri-non-ac-di-mampang-93215.html	Kamar kost Putri NON AC di Mampang	850000	Kost Putri	Jl.Mampang Prapatan VI Rt04 Rw02 No.70B	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/hompy-timur-residence-86803.html	Hompy Timur Residence	2700000	Kost Putri	Tebet Timur Dalam 7B no. 11	Ya	Ya	Ya	Ya	Ya	Tidak	Ya	Tidak	Ya	Ya	Tidak	Tidak	Ya	Tidak	Ya	Tidak	Ya	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/rumah-kontrakan-40m2-pasutri-baru-karyawati-karyawan-40141.html	Rumah kontrakan (40m2) Pasutri baru/karyawati/karyawan.	2500000	Kost Pasutri	Jalan keselamatan 18 RT10/RW03	Ya	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Ya	Ya	Ya	Ya	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/kost-khusus-karyawan-buncit-mampang-91976.html	Kost Khusus Karyawan Buncit Mampang	900000	Kost Putra	Jln. Buncit Raya Gg. H Yahya (Belakang Gedung CIMB Niaga)	Tidak	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/kos-jakarta-selatan-54092.html	KOS JAKARTA SELATAN 	1000000	Kost Campur	jln papandayan no 14 kelurahan pasar manggis kecamatan setiabudi jakarta selatan	Tidak	Ya	Ya	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/kost-pejaten-barat-dekat-unas-rs-siaga-86341.html	Kost Pejaten Barat dekat UNAS, RS Siaga	1200000	Kost Putra	Jl. Siaga I no 28 B Pejaten Barat, Pasar Minggu.	Tidak	Tidak	Ya	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Ya	Ya	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Tidak	Tidak
https://www.sewakost.com/jakarta/selatan/kost-ekslusif-di-jakarta-selatan-5376.html	KOST EKSLUSIF DI JAKARTA SELATAN	850000	Kost Campur	JL. Kapten tendean no.2A (dekat kampus interstudy) Pela Mampang, Jakarta Selatanstu	Ya	Ya	Ya	Ya	Ya	Ya	Tidak	Ya	Tidak	Ya	Tidak	Tidak	Ya	Tidak	Tidak	Ya	Tidak	Ya	Tidak
https://www.sewakost.com/jakarta/selatan/kost-murah-di-tb-simatupang-pasar-minggu-jakarta-selatan-87780.html	Kost Murah di TB Simatupang Pasar Minggu Jakarta Selatan	1000000	Kost Campur	Jl. Jati padang poncol RT. 006 RW. 008 No. 7, Kel. Jatipadang, Kec. Pasar Minggu Jakarta Selatan (Samping SMPN 218 Jakarta Selatan)	Ya	Ya	Tidak	Tidak	Tidak	Ya	Tidak	Ya	Tidak	Ya	Tidak	Tidak	Ya	Tidak	Tidak	Tidak	Tidak	Ya	Tidak
